user_id,anime_id,rating
1,20,-1
1,24,-1
1,79,-1
1,226,-1
1,241,-1
1,355,-1
1,356,-1
1,442,-1
1,487,-1
3,20,8
3,154,6
3,170,9
3,199,10
3,225,9
3,341,6
3,430,7
3,527,7
4,6,-1
4,72,-1
4,121,-1
4,150,-1
4,166,-1
4,205,-1
4,226,-1
5,6,8
5,15,6
5,17,6
5,18,6
5,20,6
5,22,5
5,24,1
5,30,1
5,45,7
5,47,8
5,57,7
5,63,1
5,67,6
5,68,6
5,132,6
5,136,8
5,137,8
5,138,6
5,139,6
5,150,2
5,152,4
5,166,6
5,170,6
5,174,5
5,185,6
5,186,6
5,189,1
5,190,1
5,195,4
5,199,8
5,205,8
5,223,6
5,225,1
5,232,3
5,240,4
5,241,1
5,245,10
5,248,1
5,249,1
5,250,5
5,263,7
5,264,8
5,265,7
5,268,7
5,269,3
5,272,5
5,288,2
5,292,7
5,335,3
5,344,7
5,371,3
5,379,6
5,390,3
5,392,7
5,406,6
5,442,4
5,443,4
5,448,3
5,481,3
5,482,5
5,487,1
5,508,3
5,517,3
5,527,6
5,528,7
6,20,-1
6,59,-1
6,228,-1
6,317,-1
7,22,7
7,30,10
7,31,9
7,32,9
7,59,7
7,64,8
7,65,7
7,111,8
7,121,8
7,136,8
7,139,7
7,170,9
7,210,9
7,223,9
7,225,7
7,232,8
7,245,8
7,249,8
7,270,9
7,339,9
7,357,8
7,407,8
7,435,8
7,482,9
7,508,7
7,530,8
7,532,8
8,269,9
8,355,9
10,20,-1
11,30,5
11,43,7
11,44,7
11,54,-1
11,59,7
11,61,4
11,104,9
11,120,6
11,121,7
11,122,6
11,143,7
11,149,5
11,164,8
11,177,7
11,199,10
11,202,9
11,232,6
11,243,4
11,249,9
11,270,-1
11,338,10
11,357,7
11,416,10
11,430,6
11,431,8
11,440,10
11,441,9
11,449,6
11,450,7
11,451,6
11,452,9
11,497,7
11,512,5
11,513,9
11,522,7
11,523,8
11,528,7
11,530,7
11,531,7
11,532,7
12,223,8
12,225,6
12,302,9
12,392,9
13,1,-1
13,5,-1
13,6,-1
13,19,-1
13,25,-1
13,30,-1
13,32,-1
13,43,-1
13,47,-1
13,114,-1
13,164,-1
13,198,-1
13,199,-1
13,205,-1
13,227,-1
13,239,-1
13,245,-1
13,270,-1
13,323,-1
13,330,-1
13,339,-1
13,431,-1
13,437,-1
13,486,-1
13,527,-1
14,133,6
14,135,8
14,177,8
14,392,8
14,433,9
16,61,8
16,226,-1
16,357,5
17,6,7
17,19,10
17,30,9
17,32,10
17,43,8
17,47,8
17,66,6
17,114,7
17,121,6
17,164,9
17,199,8
17,205,7
17,226,7
17,227,7
17,228,7
17,245,8
17,256,6
17,268,8
17,323,8
17,339,8
17,376,-1
17,413,1
17,430,6
17,431,8
17,437,9
17,468,8
17,486,9
18,64,9
18,65,9
18,199,9
18,317,10
18,431,10
18,523,8
19,1,10
19,5,9
19,121,8
19,199,9
20,193,8
20,243,9
20,249,10
20,325,8
21,1,9
21,5,9
21,20,8
21,30,10
21,31,9
21,32,10
21,64,8
21,97,8
21,136,8
21,143,5
21,164,9
21,166,7
21,199,10
21,223,7
21,225,6
21,226,8
21,227,9
21,228,8
21,240,9
21,249,8
21,270,9
21,317,7
21,356,8
21,417,4
21,431,9
21,432,8
21,437,10
21,440,8
21,441,8
21,457,10
21,481,7
21,482,3
21,513,9
21,523,9
22,457,10
23,1,9
23,5,10
23,45,10
23,48,9
23,96,10
23,223,10
23,245,10
23,249,9
23,257,9
23,288,10
23,298,8
23,392,10
23,400,10
23,449,9
23,450,9
23,451,9
23,452,8
23,469,10
23,481,10
23,482,10
23,527,10
23,530,10
23,532,10
24,30,8
24,66,9
24,72,7
24,226,7
24,227,8
24,270,9
24,357,8
24,376,8
26,63,-1
27,356,8
27,479,7
28,20,9
28,226,9
28,392,10
29,30,9
29,114,10
29,121,8
29,143,7
29,199,10
29,223,10
29,225,4
29,226,4
29,232,7
29,249,8
29,270,6
29,288,8
29,339,10
29,392,9
29,481,10
29,482,7
29,502,6
29,527,8
29,530,7
30,59,7
30,121,10
30,199,9
30,226,10
30,270,8
30,376,-1
31,15,7
31,356,7
31,523,7
32,1,10
32,6,10
32,19,7
32,59,6
32,120,10
32,150,9
32,202,10
32,223,10
32,227,9
32,249,10
32,317,-1
32,431,10
32,523,10
32,527,-1
33,15,9
33,269,9
34,1,7
34,20,9
34,30,9
34,32,8
34,47,-1
34,121,-1
34,147,8
34,170,-1
34,205,-1
34,223,-1
34,225,9
34,249,-1
34,269,10
34,390,9
34,392,9
35,19,-1
35,64,-1
35,65,-1
35,169,-1
35,202,-1
35,226,-1
35,249,-1
35,258,-1
35,339,-1
35,467,-1
36,521,8
37,164,8
37,199,10
37,226,6
38,20,6
38,30,10
38,32,10
38,47,7
38,71,3
38,72,1
38,121,6
38,174,4
38,193,5
38,205,7
38,226,9
38,269,8
38,355,8
38,356,6
38,413,1
39,20,10
39,26,-1
39,30,-1
39,32,10
39,121,10
39,205,-1
39,223,8
39,225,7
39,226,8
39,245,10
39,268,-1
39,269,8
39,339,-1
39,457,-1
40,18,9
40,185,9
40,186,9
40,187,9
40,205,9
40,226,9
40,237,10
40,245,10
40,356,10
41,6,9
41,20,10
41,269,8
41,481,9
41,482,8
42,143,9
42,269,10
43,1,10
43,15,7
43,20,8
43,43,8
43,67,5
43,68,8
43,98,-1
43,132,8
43,168,8
43,170,8
43,177,8
43,198,8
43,205,10
43,257,7
43,268,7
43,269,8
43,270,8
43,411,8
43,457,9
43,468,6
44,30,8
44,121,8
44,199,10
44,202,9
44,256,6
44,269,9
44,270,7
44,430,6
44,431,9
45,120,8
45,121,8
45,430,7
46,1,10
46,20,7
46,45,8
46,149,7
46,150,8
46,154,7
46,164,10
46,199,10
46,202,10
46,230,6
46,242,10
46,245,10
46,269,10
46,322,8
46,356,4
46,431,10
46,457,9
46,464,9
46,512,10
46,513,10
46,523,10
47,120,10
47,199,10
47,325,4
47,431,9
47,523,10
47,530,9
47,532,8
49,30,-1
49,269,-1
49,270,-1
50,1,10
50,19,10
50,20,10
50,33,7
50,44,10
50,45,8
